Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2022-03-20,21:00 (01:30),La Liga,Matchweek 29,Sun,Away,W,4,0,Real Madrid,2.7,1.1,60,60017,Sergio Busquets,4-3-3,Juan Martínez,Match Report,
2022-04-03,21:00 (00:30),La Liga,Matchweek 30,Sun,Home,W,1,0,Sevilla,2.2,0.7,55,76112,Sergio Busquets,4-3-3,José Sánchez,Match Report,
2022-04-07,21:00 (00:30),Europa Lg,Quarter-finals,Thu,Away,D,1,1,de Eint Frankfurt,0.9,1.4,65,48000,Sergio Busquets,4-3-3,Srđan Jovanović,Match Report,Leg 1 of 2
2022-04-10,21:00 (00:30),La Liga,Matchweek 31,Sun,Away,W,3,2,Levante,1.4,3.5,63,20785,Sergio Busquets,4-3-3,José Luis Munuera,Match Report,
2022-04-14,21:00 (00:30),Europa Lg,Quarter-finals,Thu,Home,L,2,3,de Eint Frankfurt,2.6,2,74,79468,Sergio Busquets,4-3-3,Artur Dias,Match Report,Leg 2 of 2; Eint Frankfurt won
2022-04-18,21:00 (00:30),La Liga,Matchweek 32,Mon,Home,L,0,1,Cádiz,1.6,1.7,74,57495,Sergio Busquets,4-3-3,Santiago Jaime,Match Report,
2022-04-21,21:30 (01:00),La Liga,Matchweek 33,Thu,Away,W,1,0,Real Sociedad,1.1,1,45,35128,Sergio Busquets,4-3-3,Carlos del Cerro,Match Report,
2022-04-24,21:00 (00:30),La Liga,Matchweek 21,Sun,Home,L,0,1,Rayo Vallecano,1.7,0.4,70,57023,Sergio Busquets,4-3-3,Isidro Díaz de Mera,Match Report,
2022-05-01,21:00 (00:30),La Liga,Matchweek 34,Sun,Home,W,2,1,Mallorca,1.2,1,70,62789,Sergio Busquets,4-3-3,Pablo González,Match Report,
2022-05-07,21:00 (00:30),La Liga,Matchweek 35,Sat,Away,W,2,1,Betis,1.1,0.9,57,46132,Sergio Busquets,4-3-3,Antonio Matéu Lahoz,Match Report,
2022-05-10,21:30 (01:00),La Liga,Matchweek 36,Tue,Home,W,3,1,Celta Vigo,1.2,1.1,54,55899,Jordi Alba,4-2-3-1,Miguel Ángel Ortiz Arias,Match Report,
2022-05-15,19:30 (23:00),La Liga,Matchweek 37,Sun,Away,D,0,0,Getafe,0.2,0.4,71,13072,Sergio Busquets,4-3-3,Jesús Gil,Match Report,
2022-05-22,22:00 (01:30),La Liga,Matchweek 38,Sun,Home,L,0,2,Villarreal,0.9,0.7,69,54850,Sergio Busquets,4-3-3,José Luis Munuera,Match Report,
