For Barcelona,,,,,,,,,Total,,,,,Short,,,Medium,,,Long,,,,,,,,,,,
Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,Prog,Match Report
2022-03-06,16:15 (20:45),Matchweek 27,Sun,Away,W,2,1,Elche,517,619,83.5,8714,2964,221,243,90.9,237,257,92.2,38,66,57.6,1,2.7,1.3,15,42,14,4,48,Match Report
2022-03-13,21:00 (01:30),Matchweek 28,Sun,Home,W,4,0,Osasuna,834,920,90.7,13125,3650,427,455,93.8,307,328,93.6,59,79,74.7,2,2.4,2,17,68,17,3,53,Match Report
2022-03-20,21:00 (01:30),Matchweek 29,Sun,Away,W,4,0,Real Madrid,639,720,88.8,11305,4050,311,329,94.5,253,277,91.3,69,91,75.8,4,2.5,1.8,15,51,11,1,34,Match Report
2022-04-03,21:00 (00:30),Matchweek 30,Sun,Home,W,1,0,Sevilla,523,604,86.6,9270,2716,215,239,90,211,230,91.7,64,85,75.3,1,2.1,2.5,17,46,15,5,33,Match Report
2022-04-10,21:00 (00:30),Matchweek 31,Sun,Away,W,3,2,Levante,582,672,86.6,9328,2718,276,295,93.6,236,260,90.8,43,71,60.6,3,0.9,1.1,10,35,10,4,27,Match Report
2022-04-18,21:00 (00:30),Matchweek 32,Mon,Home,L,0,1,Cádiz,641,746,85.9,10949,3229,295,326,90.5,260,294,88.4,57,85,67.1,0,1.2,1.4,13,67,17,2,53,Match Report
2022-04-21,21:30 (01:00),Matchweek 33,Thu,Away,W,1,0,Real Sociedad,376,493,76.3,6262,2308,186,224,83,128,154,83.1,43,67,64.2,1,1.2,1.9,10,29,9,1,26,Match Report
2022-04-24,21:00 (00:30),Matchweek 21,Sun,Home,L,0,1,Rayo Vallecano,571,695,82.2,10871,3372,202,227,89,292,326,89.6,68,108,63,0,1.1,1.2,10,53,14,5,45,Match Report
2022-05-01,21:00 (00:30),Matchweek 34,Sun,Home,W,2,1,Mallorca,610,716,85.2,9435,2748,312,340,91.8,188,215,87.4,62,84,73.8,1,0.9,1.5,14,45,12,3,30,Match Report
2022-05-07,21:00 (00:30),Matchweek 35,Sat,Away,W,2,1,Betis,459,541,84.8,7667,2784,231,256,90.2,151,166,91,56,83,67.5,2,0.9,0.8,10,35,9,2,33,Match Report
2022-05-10,21:30 (01:00),Matchweek 36,Tue,Home,W,3,1,Celta Vigo,507,587,86.4,8558,2843,238,259,91.9,228,254,89.8,38,54,70.4,2,0.9,1.2,7,45,8,1,39,Match Report
2022-05-15,19:30 (23:00),Matchweek 37,Sun,Away,D,0,0,Getafe,818,895,91.4,14001,3389,387,403,96,337,358,94.1,72,104,69.2,0,0.2,0.5,4,46,5,2,39,Match Report
2022-05-22,22:00 (01:30),Matchweek 38,Sun,Home,L,0,2,Villarreal,642,734,87.5,10770,2801,337,356,94.7,231,250,92.4,59,86,68.6,0,0.7,1,11,63,12,3,39,Match Report
